Date of Comment;Country;Comment Title;FULL COMMENT;Our Comments;Service-On Board/Off Board;Punctuality;Airplane Infrastructure;Other Factors;Positive Comment;;;;;;;;;;;;;;;;;;;
2024-11-06T12:10:24.000Z;SE;Wizzair makes up there own standards;"Wizzair makes up there own standards.

Wizzair had a cut off time for online check in for 3 hours despite the industry standard by other low cost carriers being 2 hours. I had booked via a third party (booking.com) and was forced by wizzair to pay a large fee at the airport increasing my total cost by 50%.

Very dishonest and I hadn't flown with them for nearly 20 trips. Will try to avoid them at all costs.";;YES;YES;NO;Hidden fees/extra charges;NO;;;;;;;;;;;;;;;;;;;
2024-11-08T06:53:31.000Z;HU;Terrible experience with their staff at…;Terrible experience with their staff at the airport. They charged us extra 68€ for a tennis bag. Then another 58€ for tennis reckets at the gate. Stealing their customers….;;YES;NO;NO;Hidden fees/extra charges;NO;;;;;;;;;;;;;;;;;;;
2024-11-05T20:56:16.000Z;ES;They are a predatory airline;They are a predatory airline, they do not respect fees or timelines. They are garbage and will squeeze every last cent from you. They will regularly increase their price mid-booking on their godawful app.;;YES;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-11-03T21:28:15.000Z;DE;"Abandoned in a Foreign Country with…
";"I booked my ticket with Wizz Air two months in advance, expecting a straightforward travel experience. Instead, I was left stranded in a foreign country with no support or assistance from the airline, feeling anxious and alone in an unfamiliar place. To make matters worse, I was also charged an extra fee just to board my flight!
It’s shocking that, after all the planning, I still faced hidden costs and poor customer service when I needed it the most. This experience left me feeling that Wizz Air cares more about making money than providing any real support for its customers. I hope they address these issues because no one should have to go through this.
if there is Zero ill put it for you";;YES;YES;NO;Hidden fees/extra charges;NO;;;;;;;;;;;;;;;;;;;
2024-11-08T09:39:46.000Z;GB;When you are checking in;"I was expecting a bad experience after reading the reviews. However I had a pleasant one. Our flight time had changed on both return flights and departed a 2/3 hours later. However we were made aware of this about 4 months before departure and given the option to change flights. We kept the new flight time. I flew london to hurghada.

Flight staff were nice, plane departed on time, safe journey, pleasant flight. I had a good experience and would fly with them again.";;NO;NO;NO;NO;YES (for all categories);;;;;;;;;;;;;;;;;;;
2024-11-11T15:58:47.000Z;GB;Awful awful airline;Flight cancelled just before boarding and after two months I have not yet received any compensation;;YES;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-11-10T10:28:34.000Z;DK;Not worth even 1 star;"ITS A TRAP. The clerk in Billund told us it was to late to online check in 1h40m. There was a der of 670dkk!! Almost 100 euro! For him to check in. Disgusting. First and last travel with that shitstain Company!
We online checked in our return flight. And it was possible to also check in or first flight. Se he lied and scammed us right there!";;YES;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-11-09T11:20:18.000Z;GB;Good experience, nice crew and super smooth landing;I have seen all the reviews and issues with Wizz but our flights to and from Larnaca earlier this week departed on time and arrived early. Check in was efficient and the staff on the plane polite and professional. No complaints at all.;;NO;NO;NO;NO;YES (for service, punctuality);;;;;;;;;;;;;;;;;;;
2024-11-06T19:36:51.000Z;DK;Canceling flights without a refund;I bought a ticket 3 hours and 5 minutes before take off and never received the option of online check in because it was never available in the timeframe. Instead I got charged 50 EUR at the airport for physical check-in. Seems pretty scammy.;;YES;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-11-11T17:40:50.000Z;GB;They charge you for calls now.;I wouldn't give even one star if I could. When browsing for the flights the prices are just changing from minute to minute. I selected WizzSmart and went through all the pages, wanted to pay, but it could not process the payment. So I started again but the price for WizzSmart for the second time was higher! It did not work again. So instead of desktop I used mobile app, again the price was lower this time, I went through all the screens and managed to pay. Immediately I realized I got wrong ticket, just mixed up origin and destination, but the date was good, but of course there is no way to change this even if you will fly anyway, without paying changes fee... and that is ridiculous because people do small mistakes, and it should be allowed to make small changes without being penalized. Finally, I actually paid twice, but if you'd let people change in this kind of situation without fees, you would not lose anything. But this company is obviously one of the greediest in the world and just counts that people will do mistakes. The could probs say that I should have selected the option to get wizz flex, but it's because your website hanging all the time I finally made a mistake. I tried to call the number I got from the chat for the UK passengers, but again it was automated and at the end they have told me to find other number on their website, but the number I used was from the website... so impossible to even talk to anyone. Overall experience the worst like always, all the people I know say only bad things about this greedy company, and me too, it is not first time I experienced problems with them. I hope some regulatory body will finally force them to make changes to their policies in favour for the passengers. Somebody could say just do not fly with them, but really there is not much choice. So happy today I paid for the trip I didn't want, and the trip I wanted. Lost 55 quid just because no way to amend flights without paying fee that normally costs more that the flights... ridiculous.;;YES;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-11-08T12:49:06.000Z;NL;Bought the Wizz air annual multiplass…;"I wrote e-mail to WizzAir company but no reaction. I hope posting here will solve the problem.

I am writing to request a refund for the unfair payment for my hand luggage when boarding the plane in Katowice Airport in Poland.
Unfortunately, I am not satisfied with the service for the following reason: I have booked my fly from Eindhoven/Netherland to Katowice/Poland with option only one hand luggage 40cm 30cm 20cm in both way. My hand luggage (soft backpac) with handle is 42cm 20cm 17cm, without handle 40cm 20cm 17cm but still smaller size than required by WizzAir. In Eindhoven my hand luggage according to the service staff didn’t have any reserved, I was not asked to check in the control WizzAir luggage box, it was perfect. While according to the service staff LS Airport Service in Katowice my luggage exceeded the designated dimensions. I was asked to put my hand luggage in control WizzAir luggage box. On the control WizzAir luggage box the picture of the luggage is vertically also the arrow sign is vertically, in this way I put my luggage and fit perfectly. However, the service staff asked me to put my hand luggage horizontally and according the service staff my hand luggage size was not right, that I do not agree.";;YES;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-11-07T23:41:38.000Z;GB;Graet value & services;"Not impressed with Wizz Air at all.
We booked as they had decent flight times and reasonable prices. They then make up their lower cost fares with added extras.

I was concerned about being seated away from my kids, but as allocated seating was expensive I opted to pay for auto check-in which is supposed to happen 50 hours prior to departure. I bought this well ahead of travel.

At 50 hours before, it hadn't auto allocated. I called up where they told me they had technical difficulties with it, and asked me to wait and see if it sorted itself overnight.

It didn’t, hence another call the following morning where they basically said ‘it’s not working’, and that I had to claim it back.

I then needed to use standard check-in 24 hours before which, as expected, resulted in us all being in completely different places in the plane. On my return, I tried to claim the auto check in payment back only to be told it’s non refundable, regardless of what happened. How disgraceful to expect l passengers to pay for a service they didn’t deliver!

Asides from that, very late opening of check-in desks, along with long queues so we nearly missed our flight - despite us being at the airport 3 hours before (it opened 2 hours before and was very slow).

On the plane, getting seated was like a circus. One poor kid had something leaking on his head and the cabin crew told him it was ‘a bit of condensation’ and wedged some tissue where it was coming from. Actually transpired to be another passengers leaky Tango in the overhead locker..

Overall we felt it was a stressful experience to travel with Wizz Air - going forward I’d rather pay a bit more and go with a decent company, not these jokers.";;YES;YES;NO;HIdden fees/extra charges;NO;;;;;;;;;;;;;;;;;;;
2024-11-03T11:42:47.000Z;GB;No 24h free flight cancellation/change…;The website is a joke. Checking in online is a 60 minute endeavour as nothing works and errors pop up more frequently then you thought was possible. Absolute joke.;;YES;NO;NO;Website;NO;;;;;;;;;;;;;;;;;;;
2024-10-30T17:30:47.000Z;ES;Absolutely deplorable!;"they made us pay €60 for hand luggage that was only 2 centimeters bigger (it couldn't fit into the frame without wrinkling, so the employee measured it with a meter and when he found out the 2 centimeters he fined)

I don't recommend flying with them.";;YES;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-10-23T18:18:07.000Z;GB;Worst experience with a flight ever!…;Tried booking on the iOS app, approved the payment in my credit card app but then the app crashed and took me back to the start. Checked my emails, no booking confirmation, so I started again but this time on my laptop web browser. This time worked fine, but then I see I’ve got two costs, and now because I’m flying in less than 14 days I have to pay a ?165 cancellation fee for the duplicate booking. Tried to log a complaint, but it says it was booked through a third party - which is not correct, I did it direct with Wizz air. My only option is to call the contact centre, at a large cost per minute to me.;;YES;NO;NO;Website, hidden fees, extra charges;NO;;;;;;;;;;;;;;;;;;;
2024-10-21T11:23:14.000Z;GB;Today they charged me for my luggage;"Awful airline. Email their CEO...
I've had a terrible experience with Wizz Air offering a reimbursement payment but never actually following through with making the payment. I encourage anyone to email their CEO directly (jozsef.varadi AT wizzair.com) to expedite the claim/complaint or Complaint Manager (olena.onopriienko AT wizzair.com). Won't let me publish the full email address";;YES;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-11-06T12:02:28.000Z;GB;Overall good;The check in link didn't work after I tried it a few times the night before my flight. Then when I arrived to the airport was forced to pay 45 for not checking in!;;YES;NO;NO;Extra fees/hidden chargs;NO;;;;;;;;;;;;;;;;;;;
2024-10-16T17:57:57.000Z;DK;If you like to get delayed Fly with Wizz Air!;"First and last time travelling with Wizzair. Be aware they have hidden fees - for example if you do not check in online between 24 and 3 hours before departure, you can only check in at the check-in desk, which will cost you a fee that might be more expensive than the ticket itself. I have never experienced anything like this for any other low-cost airlines and I think it is outrageous.

PS, their seats are worse than Ryanair's.";;YES;NO;YES;Comparison to competitors;NO;;;;;;;;;;;;;;;;;;;
2024-10-18T19:06:03.000Z;GB;Airlines that offer cheap flights get…;5 hour flight ended up being 8.5 hours. Diverted to Cyprus at very short notice (day before) due to staff overworked and needing to stand down. No refreshments offered complimentary unlike most other airlines. Imagine 8.5 hours and the only way to get refreshments is to pay a premium. I have an injury requiring wheelchair assistance on arrival. They did not arrange effectively. A group of us stayed another 30 minutes on the flight waiting for mobility assistance which the staff laughed at the delay it took. Absolute shambles and disgusting service. Total travel time on this trip would be 7 hours. Ended up being 13.5 hours.;;YES;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-10-21T05:20:44.000Z;US;They don’t care about their customers;Absolutely horrible. They are very predatory when it comes to charging extra luggage frees. The Hungarian representatives were curt, rude, disrespectful toward many Armenian passengers. The flights are almost always delayed to begin with. Andrea, the manager, along with the blonde, sassy guy, told me I should stop using WizzAir if I question their attitudes. The rest wouldn't give out their names, and threatened that if I film their behavior, they wouldn't allow me on board. Sure, if you have a bigger luggage, you must be charged extra, however, the way they conveyed the message was very militant, disrespectful. We are paying customers and you provide a service! The Hungarian team needs more training.;;YES;NO;NO;Critisism for Hungarian Team;NO;;;;;;;;;;;;;;;;;;;
2024-10-21T12:03:12.000Z;GB;Will NEVER fly with Wizz Air againn;"If I could give it zero I would
Absolutely disgusting
Went for a family wedding wasn’t allowed to board to come back as Wizz air made an error with my booking. Was left with my two under twos with no communication from the airline what’s so ever. I was a priority member, nobody even at the priority desk, my first time flying with the company and my last time.

WOULD NOT RECOMMEND TO ANY ONE!!!
Then was laughed at by the Wizz air airport staff!

DISGUSTING!";;YES;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-10-28T16:06:05.000Z;QA;Delayed flight causing a chaos;"i had a travel with several one-way tickets, and in the mix of it all i did the mistake of buying one extra set of tickets for about 490$ total.

They have refused to pay the money back and the refund was only available to wizz wallet with 3 months deadline to spend, and i can't even buy it for a family member for example where they pay me the amount and i'll book for them, no, i have to be one of the passengers when using this credit.

the flight and experience was so garbage as it was that i'd rather lose my 490$ than fly with them again. I mean what kind of an airline traps a customer's money like this and refuse to collaborate, pure garbage airline and even worse service, took me 50 minutes to get a hold of an agent after 6 call attempts...";;YES;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-10-21T12:33:12.000Z;GB;AVOID IF POSSIBLE;"Can't email anyone and can onlt ring a premium rate number.
Wizz air give me 300 pounds credit after them cancelling a flight and now the credit has expired.
Basically just stole 300 pounds.
Please don't ever book with these cowboys.";;YES;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-10-25T01:02:45.000Z;ES;DO NOT BOOK WITH THIS COMPANY;"I tried many times to check in on their website more than 3 hours before the flight, and their system had a bug that didn't let me check-in online. Because on their website it's written ""in some airport, online check-in is not available"" I was like ""ok no worries, and I will check-in at the airport free of charge as written on their website (when the online check-in is not available)"".

Once arrived at the airport, I had to pay 50 euros, and the cashier told me ""hey, I just called Wizz and they said that it was because you didn't click on the link they sent you at 19h34"", it was 19h40 at that time....

I guess, because the cashier is not a direct Wizz employee, they don't care about their capacity to think rationally...

AVOID THIS COMPANY, EVEN IF YOU NEED TO PAY DOUBLE THEIR PRICE!!!";;YES;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-10-18T11:05:54.000Z;AU;Bunch of scammers;EUROPE.....PLEASE READ REVIEWS! Nobody else anywhere in the developed world would allow this lack of service, rudeness, incompetence, obvious lack of training... not to mention the obvious safety defects.that allow a burning type smell in the cabin to be normal.;;YES;NO;NO;lack of safety;NO;;;;;;;;;;;;;;;;;;;
2024-10-17T20:55:42.000Z;GB;Wizzair scam you to pay for checkin!;I am due to Fly with Whizz Air next week, but have already had an incredibly disappointing experience. Not only do they charge extra for everything, but they make you pay just to select a seat. To add insult to injury, they charge for airport check-in too, which seems completely unreasonable in this day and age. The whole process feels like a money grab at every step. The hidden fees made what initially seemed like a budget flight cost much more than expected. I won't be flying with Whizz Air again. Avoid if you can!;;YES;NO;NO;Extra fees/hidden charges;NO;;;;;;;;;;;;;;;;;;;
2024-10-16T15:05:15.000Z;RO;Fly cheap get scammed;Wizz Air's major problem is related to the uneducated and irresponsible staff. they don't follow the basic safety instructions, they let people do what they want during the flights (eg: a woman let her toddler without seatbelt and any kind of support during take off), drunk people become agressive towards other passengers. When I offered them feedback they told me to choose a different company. Horrible experience.;;YES;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-10-17T19:12:39.000Z;RS;Customer Service Failings;I didn't check in online 3 hours beforehand. My own fault for not knowing this (I booked through a ticket seller online lese than 24 hours to departure, so was rushed and wasn't aware of it but happy to accept some responsibility). However at the airport two and a half hours before take off and told to pay €50 or else I can't check in. 50 euros? I won't be bothering to use them again.;;YES;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-11-04T21:25:22.000Z;UA;Ticket cancellation due to illness…;"Doesn't want to return money within EU261 directive.
It is the 3rd month without answer.";;YES;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-10-14T08:19:16.000Z;GB;The worst customer service team I ever…;"Booked my flight Warsaw to Luton, everything looked set with confirmation emails. When arriving into Warsaw at WizzAir check-in I was informed that the flight was overbooked and would have to go to the boarding gate and wait to see if I had a seat available.
Myself and 5 other people waited to see if people didn't show, whilst the staff assured us the next flight with space was in 2days time... thankfully a few people didn't arrive meaning a few of us were able to get on. This just caused an unexpected stress, and I have never been on an airline that accidentally overbooks people.";;YES;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-10-17T12:43:05.000Z;DK;No Support, Website Lags Horribly;I am deeply disappointed that I cannot give them -5, -10 stars. They are the worst company! They call themselves low cost , but they are even more expensive than line companies. In addition, their attitude is awful. They treat customers with disrespect and contempt. Awful, awful,awful!!;;YES;NO;NO;The worst company;No;;;;;;;;;;;;;;;;;;;
2024-10-13T15:52:29.000Z;MA;If I could give 0 stars I would;"Your flight from Vienna to Malaga for the date of 10/10/2024 departure of 17:40 did a delay of more then 3h (Effective departure at 21:00). It was a terrible thing thas caused many damaged to us:
- We have missed our flight to Marrakech planned at 23:50.
- We had to book new flight to Morocco, Casablanca not Marrakech.
- We had to stay at the airport for more then 17 hours, and spend the whole night there.
- Delay of your flight would cause us serious problems in future asking for visa because our visa ended at 10/10/2024 mid night.
It was a long time of delay from your company without taking in consideration what it could cause to your travelers. It's a negative behavior toward clients from your part, and we were alone facing such terrible and tragic situation ??";;YES;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-10-16T09:16:27.000Z;GB;Wizz Air just stole 499€ from me!!;"I have tried to book a ticket with Wizz air but couldn’t finalise the purchase due to faulty website, payment just wouldn’t go through. So, I went on another site and bought a ticket there but an hour later purchase on Wizz air somehow went through and they took money from my card. I have sent them an email asking to refund money, but they just refused.
It’s just a rip off, it’s a bunch of cowboy managing Wizzair";;YES;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-10-13T15:34:29.000Z;GB;Airline robs luggage customers;Bad service even by low cost airline standards. Tickets on the same booking will be purposefully allocated apart to force you to book seats together. The staff are unfriendly, occasionally rude. Will avoid in the future.;;YES;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-10-28T13:18:15.000Z;NL;Online checkin was unavailable;"They made me pay for parking at the airport and afterwards did not confirm anything. No adress, time, instructions whatsoever. After calling their customer service I was assured that they would get back to me with the details before my flight. Sadly this did not happen. Had to call them again, after which the agent told me to just sort it out with the parking company (they do not have a phone number, only email). Of course this did nothing because of the time frame and just a few hours before my flight I had to book an alternative parking which was very inconvenient as well as very costly (180 euro).
 Special complaint to the customer service agents that I spoke to, as they did not come across capable nor willing to help me, which was very frustrating. They sounded like they were in a hurry to end the call, and besides making a promise to me without following through, did not offer any support, understandig or solution whatsoever.

The next time I will pay more for an airline with better service. The money initially saved was not worth the stress, the time and eventually the extra costs";;YES;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-10-17T15:42:47.000Z;CZ;I don't know what the hell is happening…;If I could assign 0 stars I would. They rescheduled my flight from Monday to Sunday, a day ahead... their webpage is absolutely user-unfriendly, confusing... They make you pay extra for a seat even when it was them who allocated it to you, also for automatic check in, etc., etc. If you want a refund of your rescheduled flight they only speak of WizzAir credits... all in all WIZZAIR NEVER AGAIN;;YES;YES;NO;Website issues, extra fees, refund issues;NO;;;;;;;;;;;;;;;;;;;
2024-10-09T16:33:33.000Z;ES;The worst customer service ever;"The worst ever customer service agent number 12 and 8

they copy paste information without reading and they mislead on purpose letting multiple agents respond same case often contradictory, assigning different case numbers to same claim
They deny payment of compensation for my under age son but they had no problem me paying the tiket right?
Have been processing one claim for over 7 weeks and still it’s In proces it’s desperate
it’s the worst system is expressly to make you give up and settle for minimum compensation but not this time, lawyer up Wizzair you have crossed the line, there are laws you need to respect. See you in court.";;YES;YES;NO;Customer sued Wizz Air;NO;;;;;;;;;;;;;;;;;;;
2024-10-25T09:14:22.000Z;RO;Absolute lack of service;"I bought Airport Parking ""Premium"" (Charleroi Airport, Belgium) via Wizzair app while doing the checkin (it's available also with RyanAir). I give it *1 star* that I arrived. It delayed me at least 40min, so take this into account. Anyways, it is actually AEROPARK - you will find it in Google Maps as ""[P] Charleroi Low Cost Parking""!!! I do NOT recomand it!! I encourage you to give the same review to Wizz/RyanAir/Charleroi Airport/AeroPark, so that new people with normal expectations can find out about this SCAM. Details bellow.

I confirm what others wrote recently: basicaly it is a scam! I payed 51 eur for 3 days (not verry much comparing with ""official"" P1-P4), but... the conditions are like at the lowest level.

Arrived at 6am at the spot from email, gate closed and no one there, except a sign that Aeropark is 200m away. There, a gate closed and another Aeropark sign, plus a phone number - I called, no answer. After 15 min a car asks to follow to a huge parking area, like in pictures posted by others. Not to mention that other cars are also waiting, basically in the street, messing up traffic. Arrived at the parkingspace, very dirty. Than 500m walk, then pay another 5€ (airport tax?), than shuttle to the airport - the furthest point of transport area (where Flibco busses stop), than 1 km walk till aeroport!!!";;YES;NO;NO;Parking, shuttle bus;NO;;;;;;;;;;;;;;;;;;;
2024-10-11T20:50:41.000Z;GB;Terrible service;When you are checking in, even if you do it min 0, it gives you random seats if you are travelling together forcving you to pay for seating. I am pretty sure min 0 when it opens there are plenty of seats available but they do it on purpose. They are also swithcing the company that operates to a spanish one which is horrible. Their plane when taking off sounds like it is not going to make it.;;YES;NO;YES;Seat Allocation issues;NO;;;;;;;;;;;;;;;;;;;
